timestamp,storage_account_name,resource_id,total_capacity_gb,blob_capacity_gb,transaction_count,egress_gb,tier,cost_usd,department,environment
2026-04-18 15:01:26.512022,stengprod001,/subscriptions/sub-9196/resourceGroups/rg-engineering-production-westeurope/providers/Microsoft.Compute/StorageAccount/stengprod001,826.13,533.36,463454,178.46,Hot,2.38,Engineering,Production
2026-04-17 15:01:26.512022,stengprod001,/subscriptions/sub-9196/resourceGroups/rg-engineering-production-westeurope/providers/Microsoft.Compute/StorageAccount/stengprod001,851.33,510.89,304313,105.48,Hot,1.75,Engineering,Production
2026-04-16 15:01:26.512022,stengprod001,/subscriptions/sub-9196/resourceGroups/rg-engineering-production-westeurope/providers/Microsoft.Compute/StorageAccount/stengprod001,882.92,766.29,406251,473.41,Hot,2.21,Engineering,Production
2026-04-15 15:01:26.512022,stengprod001,/subscriptions/sub-9196/resourceGroups/rg-engineering-production-westeurope/providers/Microsoft.Compute/StorageAccount/stengprod001,916.91,665.1,46111,172.61,Hot,0.76,Engineering,Production
2026-04-14 15:01:26.512022,stengprod001,/subscriptions/sub-9196/resourceGroups/rg-engineering-production-westeurope/providers/Microsoft.Compute/StorageAccount/stengprod001,982.74,634.99,219204,56.36,Hot,1.48,Engineering,Production
2026-04-13 15:01:26.512022,stengprod001,/subscriptions/sub-9196/resourceGroups/rg-engineering-production-westeurope/providers/Microsoft.Compute/StorageAccount/stengprod001,1020.76,868.93,352696,278.2,Hot,2.06,Engineering,Production
2026-04-12 15:01:26.512022,stengprod001,/subscriptions/sub-9196/resourceGroups/rg-engineering-production-westeurope/providers/Microsoft.Compute/StorageAccount/stengprod001,876.55,601.73,84201,350.04,Hot,0.9,Engineering,Production
2026-04-11 15:01:26.512022,stengprod001,/subscriptions/sub-9196/resourceGroups/rg-engineering-production-westeurope/providers/Microsoft.Compute/StorageAccount/stengprod001,1168.56,753.69,171341,96.67,Hot,1.41,Engineering,Production
2026-04-10 15:01:26.512022,stengprod001,/subscriptions/sub-9196/resourceGroups/rg-engineering-production-westeurope/providers/Microsoft.Compute/StorageAccount/stengprod001,1044.62,844.5,149826,298.84,Hot,1.27,Engineering,Production
2026-04-09 15:01:26.512022,stengprod001,/subscriptions/sub-9196/resourceGroups/rg-engineering-production-westeurope/providers/Microsoft.Compute/StorageAccount/stengprod001,889.47,718.05,377273,440.5,Hot,2.09,Engineering,Production
2026-04-08 15:01:26.512022,stengprod001,/subscriptions/sub-9196/resourceGroups/rg-engineering-production-westeurope/providers/Microsoft.Compute/StorageAccount/stengprod001,1261.34,807.34,467906,476.93,Hot,2.69,Engineering,Production
2026-04-07 15:01:26.512022,stengprod001,/subscriptions/sub-9196/resourceGroups/rg-engineering-production-westeurope/providers/Microsoft.Compute/StorageAccount/stengprod001,1162.22,992.23,50541,172.62,Hot,0.93,Engineering,Production
2026-04-06 15:01:26.512022,stengprod001,/subscriptions/sub-9196/resourceGroups/rg-engineering-production-westeurope/providers/Microsoft.Compute/StorageAccount/stengprod001,1285.28,893.78,464770,331.48,Hot,2.68,Engineering,Production
2026-04-05 15:01:26.512022,stengprod001,/subscriptions/sub-9196/resourceGroups/rg-engineering-production-westeurope/providers/Microsoft.Compute/StorageAccount/stengprod001,1406.63,911.86,62464,201.71,Hot,1.13,Engineering,Production
2026-04-04 15:01:26.512022,stengprod001,/subscriptions/sub-9196/resourceGroups/rg-engineering-production-westeurope/providers/Microsoft.Compute/StorageAccount/stengprod001,1380.32,1184.86,31294,497.39,Hot,1.02,Engineering,Production
2026-04-03 15:01:26.512022,stengprod001,/subscriptions/sub-9196/resourceGroups/rg-engineering-production-westeurope/providers/Microsoft.Compute/StorageAccount/stengprod001,1430.49,1041.2,396392,414.06,Hot,2.5,Engineering,Production
2026-04-02 15:01:26.512022,stengprod001,/subscriptions/sub-9196/resourceGroups/rg-engineering-production-westeurope/providers/Microsoft.Compute/StorageAccount/stengprod001,1019.65,812.11,450382,288.15,Hot,2.45,Engineering,Production
